model,label_fraction,seed,hyperparams,labeled_count,accuracy,macro_f1,macro_recall
Supervisado KNN,0.05,7,k=7,65,0.5358255451713395,0.254667778291714,0.2519761029411765
Self-Training KNN,0.05,7,threshold=0.60; pseudo=1176,65,0.5607476635514018,0.21145761535200344,0.22935049019607842
Self-Training KNN,0.05,7,threshold=0.75; pseudo=1063,65,0.5171339563862928,0.1844750182778352,0.2095894607843137
Self-Training KNN,0.05,7,threshold=0.90; pseudo=870,65,0.43302180685358255,0.11816143881444974,0.17630208333333333
Label Propagation,0.05,7,k=5; alpha=0.85; iter=66,65,0.5015576323987538,0.3130313622116901,0.3158241421568628
Label Propagation,0.05,7,k=10; alpha=0.85; iter=65,65,0.5327102803738317,0.23561217449025493,0.23791360294117647
Label Propagation,0.05,7,k=20; alpha=0.85; iter=64,65,0.5514018691588785,0.2604991271871067,0.26089154411764703
Supervisado KNN,0.05,21,k=7,65,0.5887850467289719,0.27593054411807777,0.27666973039215687
Self-Training KNN,0.05,21,threshold=0.60; pseudo=1149,65,0.5295950155763239,0.2399847293803252,0.24215686274509807
Self-Training KNN,0.05,21,threshold=0.75; pseudo=1092,65,0.48909657320872274,0.2040809188137065,0.21515012254901963
Self-Training KNN,0.05,21,threshold=0.90; pseudo=864,65,0.48598130841121495,0.16382831380640783,0.20059742647058823
Label Propagation,0.05,21,k=5; alpha=0.85; iter=66,65,0.5202492211838006,0.22817138218923935,0.23137254901960788
Label Propagation,0.05,21,k=10; alpha=0.85; iter=64,65,0.5389408099688473,0.23551325683078797,0.23887867647058825
Label Propagation,0.05,21,k=20; alpha=0.85; iter=63,65,0.5171339563862928,0.2237288284605274,0.22751225490196078
Supervisado KNN,0.05,42,k=7,65,0.5763239875389408,0.2809272059542262,0.28673406862745093
Self-Training KNN,0.05,42,threshold=0.60; pseudo=1194,65,0.4236760124610592,0.10809584022306522,0.1669730392156863
Self-Training KNN,0.05,42,threshold=0.75; pseudo=1130,65,0.4236760124610592,0.10794664581160933,0.1669730392156863
Self-Training KNN,0.05,42,threshold=0.90; pseudo=866,65,0.43302180685358255,0.11367247025256948,0.17080269607843138
Label Propagation,0.05,42,k=5; alpha=0.85; iter=66,65,0.5295950155763239,0.2732287953439442,0.26856756907308377
Label Propagation,0.05,42,k=10; alpha=0.85; iter=64,65,0.5794392523364486,0.2834232531500573,0.28910845588235295
Label Propagation,0.05,42,k=20; alpha=0.85; iter=63,65,0.5825545171339563,0.26846141614645364,0.27238051470588237
Supervisado KNN,0.1,7,k=7,127,0.5514018691588785,0.29315498824619884,0.2865056818181818
Self-Training KNN,0.1,7,threshold=0.60; pseudo=1089,127,0.5514018691588785,0.256892311310866,0.2580269607843137
Self-Training KNN,0.1,7,threshold=0.75; pseudo=898,127,0.5420560747663551,0.25451979868175606,0.25442708333333336
Self-Training KNN,0.1,7,threshold=0.90; pseudo=564,127,0.4984423676012461,0.21637707160821518,0.21901041666666665
Label Propagation,0.1,7,k=5; alpha=0.85; iter=60,127,0.5202492211838006,0.33323922721527904,0.3359375
Label Propagation,0.1,7,k=10; alpha=0.85; iter=57,127,0.5451713395638629,0.2577803203661327,0.26115196078431374
Label Propagation,0.1,7,k=20; alpha=0.85; iter=55,127,0.573208722741433,0.2676762914510433,0.26992953431372546
Supervisado KNN,0.1,21,k=7,127,0.5856697819314641,0.2814278892210733,0.28411458333333334
Self-Training KNN,0.1,21,threshold=0.60; pseudo=1080,127,0.5451713395638629,0.25241413494266873,0.2574908088235294
Self-Training KNN,0.1,21,threshold=0.75; pseudo=982,127,0.5482866043613707,0.25265604938784103,0.2589460784313726
Self-Training KNN,0.1,21,threshold=0.90; pseudo=644,127,0.4984423676012461,0.22478066309789982,0.2370098039215686
Label Propagation,0.1,21,k=5; alpha=0.85; iter=59,127,0.5794392523364486,0.3010485678778869,0.2949002896613191
Label Propagation,0.1,21,k=10; alpha=0.85; iter=55,127,0.5482866043613707,0.27344294316497525,0.267633132798574
Label Propagation,0.1,21,k=20; alpha=0.85; iter=54,127,0.5420560747663551,0.25448916818978945,0.2546568627450981
Supervisado KNN,0.1,42,k=7,127,0.6043613707165109,0.29397069789884633,0.29627757352941175
Self-Training KNN,0.1,42,threshold=0.60; pseudo=1085,127,0.6012461059190031,0.2883614585003474,0.29692095588235295
Self-Training KNN,0.1,42,threshold=0.75; pseudo=936,127,0.5950155763239875,0.2824932964638847,0.2941636029411765
Self-Training KNN,0.1,42,threshold=0.90; pseudo=532,127,0.5825545171339563,0.27766135392204544,0.2918964460784314
Label Propagation,0.1,42,k=5; alpha=0.85; iter=59,127,0.5981308411214953,0.28321678321678323,0.28530943627450983
Label Propagation,0.1,42,k=10; alpha=0.85; iter=56,127,0.6043613707165109,0.2958443854995579,0.29658394607843136
Label Propagation,0.1,42,k=20; alpha=0.85; iter=54,127,0.6355140186915887,0.2987548747473637,0.29761029411764706
Supervisado KNN,0.2,7,k=7,256,0.5887850467289719,0.2867101999124471,0.2907628676470588
Self-Training KNN,0.2,7,threshold=0.60; pseudo=899,256,0.5669781931464174,0.2695609945609945,0.2734375
Self-Training KNN,0.2,7,threshold=0.75; pseudo=646,256,0.5825545171339563,0.2794273146385822,0.28250612745098036
Self-Training KNN,0.2,7,threshold=0.90; pseudo=177,256,0.5856697819314641,0.28937541971452646,0.29549632352941174
Label Propagation,0.2,7,k=5; alpha=0.85; iter=49,256,0.5607476635514018,0.34733417158221597,0.3470588235294118
Label Propagation,0.2,7,k=10; alpha=0.85; iter=42,256,0.5919003115264797,0.3651629072681704,0.36829044117647053
Label Propagation,0.2,7,k=20; alpha=0.85; iter=40,256,0.6012461059190031,0.2835494807899898,0.2844362745098039
Supervisado KNN,0.2,21,k=7,256,0.5856697819314641,0.27263406665971573,0.2748314950980392
Self-Training KNN,0.2,21,threshold=0.60; pseudo=942,256,0.5545171339563862,0.2675923828340185,0.2683057598039216
Self-Training KNN,0.2,21,threshold=0.75; pseudo=753,256,0.5700934579439252,0.27410256410256406,0.27752757352941176
Self-Training KNN,0.2,21,threshold=0.90; pseudo=241,256,0.6043613707165109,0.30571057622531933,0.29618705436720144
Label Propagation,0.2,21,k=5; alpha=0.85; iter=47,256,0.557632398753894,0.3806976371558941,0.3701314616755793
Label Propagation,0.2,21,k=10; alpha=0.85; iter=42,256,0.6012461059190031,0.3213345643120924,0.308657809714795
Label Propagation,0.2,21,k=20; alpha=0.85; iter=40,256,0.5981308411214953,0.2700185519454472,0.27106311274509803
Supervisado KNN,0.2,42,k=7,256,0.6199376947040498,0.3011756937612451,0.3058057598039216
Self-Training KNN,0.2,42,threshold=0.60; pseudo=920,256,0.6230529595015576,0.29262775480036546,0.2928615196078432
Self-Training KNN,0.2,42,threshold=0.75; pseudo=710,256,0.6137071651090342,0.29566336466744564,0.2976256127450981
Self-Training KNN,0.2,42,threshold=0.90; pseudo=210,256,0.6137071651090342,0.30181469094512575,0.30644914215686275
Label Propagation,0.2,42,k=5; alpha=0.85; iter=49,256,0.6105919003115264,0.3392780813034872,0.3367647058823529
Label Propagation,0.2,42,k=10; alpha=0.85; iter=45,256,0.632398753894081,0.31000137854976567,0.3110906862745098
Label Propagation,0.2,42,k=20; alpha=0.85; iter=40,256,0.6542056074766355,0.3142427368059137,0.31416973039215684
